path,sha256,size_bytes,kind,status,antenna,port,point_count,declared_frequency_unit,raw_frequency_min,raw_frequency_max,source_sha256_at_17f0a758,provenance_note,validation_flags
Results/Corrupt_Artifacts/ANT1481H_P2.jpg.nul,c45def2ddb7d711e9ba501bac07e065ae54816177a29535b4120b2d8715d484b,47411,corrupt_smith_chart_bytes,quarantined_corrupt,ANT1481H,P2,,,,,c45def2ddb7d711e9ba501bac07e065ae54816177a29535b4120b2d8715d484b,Moved from Results/Smith_Charts/ANT1481H_P2.jpg and renamed .nul; all legacy bytes preserved from 17f0a758.,all_NUL_bytes;bytes_preserved_from_17f0a758;excluded_from_canonical_dataset;invalid_original_format
Results/Corrupt_Artifacts/ANT1481H_P2.s1p.nul,913127fb4076378ce8f372101db3c72e51b8477660c14f272251956233b4a089,8167,corrupt_touchstone_bytes,quarantined_corrupt,ANT1481H,P2,,,,,913127fb4076378ce8f372101db3c72e51b8477660c14f272251956233b4a089,Moved from Results/Touchstone_Files/ANT1481H_P2.s1p and renamed .nul; all legacy bytes preserved from 17f0a758.,all_NUL_bytes;bytes_preserved_from_17f0a758;excluded_from_canonical_dataset;invalid_original_format
Results/S11_Plots/S11_ANT1362H_P1.png,6780c0ce1ec7ff69c25afcdf99155e19b01f8375e641a7986077620bcb6e79f1,29758,s11_plot_png,reference_plot_valid,ANT1362H,P1,,,,,6780c0ce1ec7ff69c25afcdf99155e19b01f8375e641a7986077620bcb6e79f1,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1362H_P2.png,596e723dbf1c2cc5fe98742aa70d304c50cc25dc1dccd834f8206af28a4c26e0,29255,s11_plot_png,reference_plot_valid,ANT1362H,P2,,,,,596e723dbf1c2cc5fe98742aa70d304c50cc25dc1dccd834f8206af28a4c26e0,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1363H_P1.png,6c8a515bd04c6e13735718b53bf82d24b9a88b6c78b16b0b8396a36218e66a76,30002,s11_plot_png,reference_plot_valid,ANT1363H,P1,,,,,6c8a515bd04c6e13735718b53bf82d24b9a88b6c78b16b0b8396a36218e66a76,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1363H_P2.png,5540a402349bbf0c8bb447c74c198b13ed4ce84e157fd447548a2ef72a65034a,29011,s11_plot_png,reference_plot_valid,ANT1363H,P2,,,,,5540a402349bbf0c8bb447c74c198b13ed4ce84e157fd447548a2ef72a65034a,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1364H_P1.png,3dc95114fc3c8f89d18bb91732767ee7072210f3803a84a976e7c10c7dc2d05d,29932,s11_plot_png,reference_plot_valid,ANT1364H,P1,,,,,3dc95114fc3c8f89d18bb91732767ee7072210f3803a84a976e7c10c7dc2d05d,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1364H_P2.png,60a140cf5bb003e188668da827c9e1e52f19276b86618c4b02e02092276f99f4,28845,s11_plot_png,reference_plot_valid,ANT1364H,P2,,,,,60a140cf5bb003e188668da827c9e1e52f19276b86618c4b02e02092276f99f4,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1365H_P1.png,c51178cb3bb6246a93416da27d17b496e632c77c41bfe366115d95392631347f,26559,s11_plot_png,reference_plot_valid,ANT1365H,P1,,,,,c51178cb3bb6246a93416da27d17b496e632c77c41bfe366115d95392631347f,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1365H_P2.png,70822f8749e778296de197fa0b8bdd857918d269cabf35b036e28a2b0d1d9d32,27930,s11_plot_png,reference_plot_valid,ANT1365H,P2,,,,,70822f8749e778296de197fa0b8bdd857918d269cabf35b036e28a2b0d1d9d32,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1366H_P1.png,aa2e0ba11bf9b74ae4c9662dd5ef50afcd62b70487298b5898f52ec93aacbe00,29768,s11_plot_png,reference_plot_valid,ANT1366H,P1,,,,,aa2e0ba11bf9b74ae4c9662dd5ef50afcd62b70487298b5898f52ec93aacbe00,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1366H_P2.png,61dde7c56d0d83a3f70e877f0b7fa0cd754c779f4a7bab02f36780d7b307bbee,28937,s11_plot_png,reference_plot_valid,ANT1366H,P2,,,,,61dde7c56d0d83a3f70e877f0b7fa0cd754c779f4a7bab02f36780d7b307bbee,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
